x,y
-0.7619017733,0.9624337516
-0.7536811379,0.9335820419
-0.7454605025,0.9047303322
-0.7372398671,0.8758786225
-0.7400229872,0.8460659354
-0.7431179787,0.8162260120
-0.7462129701,0.7863860886
-0.7451932781,0.7565200600
-0.7424771532,0.7266432686
-0.7397610282,0.6967664772
-0.7379034284,0.6668438578
-0.7374235406,0.6368476962
-0.7369436528,0.6068515347
-0.7365118430,0.5768553409
-0.7369515297,0.5468585631
-0.7373912164,0.5168617854
-0.7378309031,0.4868650076
-0.7367035389,0.4569021864
-0.7349648711,0.4269526115
-0.7332262033,0.3970030367
-0.7278311133,0.3678729458
-0.7166208390,0.3400461647
-0.7054105646,0.3122193835
-0.6938933536,0.2845249566
-0.6813526299,0.2572718788
-0.6688119062,0.2300188011
-0.6562711824,0.2027657233
-0.6277316161,0.1950882118
-0.5985275073,0.1882238089
-0.5688887654,0.1853343996
-0.5388913160,0.1857255955
-0.5088938667,0.1861167913
-0.4862621922,0.1707096255
-0.4672771661,0.1474810056
-0.4482921400,0.1242523857
-0.4293071138,0.1010237658
-0.4103220877,0.0777951459
-0.3913370616,0.0545665260
-0.3723335038,0.0313622240
-0.3449013149,0.0192182950
-0.3174691260,0.0070743661
-0.2900369370,-0.0050695628
-0.2618491622,-0.0152644754
-0.2333997409,-0.0247844767
-0.2049503195,-0.0343044780
-0.1765163696,-0.0438704126
-0.1481047339,-0.0535025960
-0.1196930983,-0.0631347795
-0.0912837699,-0.0727737338
-0.0629024377,-0.0824948440
-0.0345211055,-0.0922159543
-0.0061397734,-0.1019370645
0.0223367286,-0.1113741064
0.0508461827,-0.1207127909
0.0793556368,-0.1300514754
0.1083898639,-0.1370346953
0.1381673567,-0.1406817386
0.1679448495,-0.1443287818
0.1977223422,-0.1479758251
0.2274998350,-0.1516228683
0.2572773278,-0.1552699116
0.2870548205,-0.1589169548
0.3151870971,-0.1686666937
0.3427626880,-0.1804813789
0.3703382788,-0.1922960642
0.3973222662,-0.2053239501
0.4236117870,-0.2197759774
0.4499013079,-0.2342280046
0.4762840519,-0.2484991403
0.5033094936,-0.2615231758
0.5303349353,-0.2745472113
0.5573603770,-0.2875712468
0.5853550994,-0.2982834010
0.6135881619,-0.3084270782
0.6418212243,-0.3185707553
0.6700542867,-0.3287144324
0.6982873492,-0.3388581096
0.7265204116,-0.3490017867
0.7546000113,-0.3595146504
0.7817044229,-0.3723735335
0.8088088345,-0.3852324165
0.8359132461,-0.3980912996
0.8629030135,-0.4111884541
0.8898649088,-0.4243435369
0.9168268040,-0.4374986197
0.9394717661,-0.4330794793
0.9572700449,-0.4089295048
0.9750683237,-0.3847795302
0.9937849739,-0.3613807265
1.0139258246,-0.3391468305
1.0340666754,-0.3169129345
1.0548323556,-0.2953953701
1.0795957506,-0.2784609593
1.1043591456,-0.2615265485
1.1291225406,-0.2445921378
1.1413347057,-0.2183172553
1.1504450011,-0.1897339994
1.1595552965,-0.1611507435
1.1685004461,-0.1325159015
1.1772794166,-0.1038291506
1.1860583872,-0.0751423998
1.1950968576,-0.0465429123
1.2054348773,-0.0183804310
1.2157728971,0.0097820502
1.2261109168,0.0379445314
1.2398454439,0.0645635977
1.2542603447,0.0908734939
1.2686752455,0.1171833900
1.2848229433,0.1423933692
1.3024962803,0.1666349277
1.3201696173,0.1908764862
1.3371519669,0.2155525633
1.3513434621,0.2419836333
1.3655349574,0.2684147033
1.3797264526,0.2948457734
1.3955667346,0.3203119831
1.4116589486,0.3456307636
1.4277511626,0.3709495442
1.4469993615,0.3936834155
1.4686518010,0.4144480938
1.4903042404,0.4352127722
1.5111983572,0.4566610534
1.5296137930,0.4803437839
1.5480292288,0.5040265144
1.5664446646,0.5277092449
1.5761271292,0.5559291253
1.5849179764,0.5846122389
1.5937088236,0.6132953525
1.6002730095,0.6425252250
1.6057672652,0.6720178199
1.6112615209,0.7015104148
1.6244165049,0.7263914725
1.6479079887,0.7450502557
1.6713994724,0.7637090389
1.6948769346,0.7823853293
1.7182165520,0.8012337314
1.7415561694,0.8200821335
1.7648957867,0.8389305356
1.7878145389,0.8582849494
1.8105997318,0.8777999432
1.8333849246,0.8973149371
1.8448342864,0.9216300140
1.8429919139,0.9515733883
1.8411495414,0.9815167626
1.8397304796,1.0114626133
1.8412223897,1.0414254938
1.8427142998,1.0713883742
1.8442062099,1.1013512547
1.8477234344,1.1311290391
1.8516875658,1.1608659801
1.8556516972,1.1906029212
1.8535152912,1.2199506245
1.8458040277,1.2489426306
1.8380927643,1.2779346367
1.8300130657,1.3068151384
1.8203542540,1.3352177326
1.8106954423,1.3636203268
1.8010366306,1.3920229210
1.7877517737,1.4188790080
1.7739388347,1.4455098682
1.7601258956,1.4721407284
1.7512291258,1.5003894071
1.7465278914,1.5300187574
1.7418266570,1.5596481076
1.7345029317,1.5882614637
1.7180154273,1.6133246279
1.7015279230,1.6383877921
1.6845502290,1.6630287332
1.6622064659,1.6830476305
1.6398627027,1.7030665279
1.6175189396,1.7230854252
1.5957460793,1.7437181367
1.5741631445,1.7645550492
1.5525802096,1.7853919617
1.5310986633,1.8063326833
1.5097584268,1.8274180883
1.4884181902,1.8485034933
1.4672417097,1.8697406342
1.4478412005,1.8926233840
1.4284406912,1.9155061338
1.4090401819,1.9383888837
1.3898607154,1.9614566275
1.3725481668,1.9857680304
1.3588216206,2.0124435234
1.3450950743,2.0391190164
1.3313680850,2.0657942531
1.3150813845,2.0909883672
1.2987946840,2.1161824814
1.2825079835,2.1413765955
1.2597651455,2.1601748382
1.2347248803,2.1766970996
1.2096846152,2.1932193610
1.1960876798,2.2155319151
1.1976072986,2.2454934030
1.1991269174,2.2754548909
1.1994726800,2.3052344442
1.1889548242,2.3333302572
1.1784369683,2.3614260702
1.1679191125,2.3895218832
1.1480976954,2.4117783244
1.1273693018,2.4334655026
1.1066409081,2.4551526808
1.0850149282,2.4759255062
1.0629478847,2.4962490293
1.0408808412,2.5165725524
1.0196397625,2.5377106443
0.9996247644,2.5600579003
0.9796097663,2.5824051563
0.9588994557,2.6034727616
0.9292594160,2.6081061240
0.8996193763,2.6127394864
0.8699793366,2.6173728488
0.8538178843,2.6404183934
0.8404446723,2.6672727637
0.8270714604,2.6941271339
0.7994652543,2.6951413766
0.7696206557,2.6920917976
0.7397760570,2.6890422186
0.7120802619,2.6777347806
0.6845345321,2.6658506413
0.6569888023,2.6539665020
0.6279275434,2.6491927802
0.5979299598,2.6488120194
0.5679323762,2.6484312586
0.5379651144,2.6470868943
0.5080029387,2.6455808977
0.4780407630,2.6440749010
0.4492299676,2.6517849963
0.4205592205,2.6606160927
0.3918884735,2.6694471891
0.3622149356,2.6720701621
0.3322218659,2.6727149628
0.3022287961,2.6733597634
0.2736315097,2.6673769215
0.2464460399,2.6546903053
0.2192605701,2.6420036890
0.1915884329,2.6314962820
0.1615885510,2.6314120975
0.1315886691,2.6313279130
0.1015887872,2.6312437285
0.0716676685,2.6333210397
0.0417534768,2.6355884460
0.0133430420,2.6333791726
-0.0091360749,2.6135123836
-0.0316151917,2.5936455946
-0.0552218752,2.5756394618
-0.0832363669,2.5649068829
-0.1112508587,2.5541743040
-0.1382341500,2.5415934755
-0.1620808950,2.5233909276
-0.1859276400,2.5051883796
-0.2097743850,2.4869858317
-0.2277675569,2.4630794366
-0.2453462317,2.4387691468
-0.2629249065,2.4144588570
-0.2812279939,2.3906996083
-0.2999640178,2.3672696828
-0.3187000417,2.3438397573
-0.3371036579,2.3201566755
-0.3547103558,2.2958666737
-0.3723170538,2.2715766719
-0.3899237518,2.2472866701
-0.4042399689,2.2209341418
-0.4184274190,2.1945009003
-0.4326148691,2.1680676587
-0.4464114323,2.1414302075
-0.4600049314,2.1146866703
-0.4735984305,2.0879431331
-0.4879744037,2.0616428134
-0.5039222542,2.0362328534
-0.5198701046,2.0108228934
-0.5358272205,1.9854192126
-0.5535187385,1.9611909193
-0.5712102564,1.9369626261
-0.5889017744,1.9127343329
-0.6063031984,1.8882981247
-0.6235630361,1.8637604393
-0.6408228737,1.8392227540
-0.6598248939,1.8162382862
